iter	Passed	Remaining
800	939	233
801	940	232
802	941	230
803	941	229
804	942	228
805	943	227
806	944	225
807	944	224
808	945	223
809	946	222
810	947	220
811	948	219
812	949	218
813	949	217
814	950	215
815	951	214
816	951	213
817	952	211
818	953	210
819	953	209
820	954	208
821	955	206
822	956	205
823	956	204
824	957	203
825	958	201
826	958	200
827	959	199
828	960	198
829	961	196
830	962	195
831	962	194
832	963	193
833	964	191
834	965	190
835	965	189
836	966	188
837	967	186
838	967	185
839	968	184
840	969	183
841	970	182
842	970	180
843	971	179
844	972	178
845	973	177
846	973	175
847	974	174
848	975	173
849	976	172
850	976	171
851	977	169
852	978	168
853	979	167
854	979	166
855	980	164
856	981	163
857	982	162
858	982	161
859	983	160
860	984	158
861	985	157
862	985	156
863	986	155
864	987	154
865	987	152
866	988	151
867	989	150
868	990	149
869	991	148
870	992	146
871	993	145
872	994	144
873	994	143
874	995	142
875	996	141
876	997	139
877	998	138
878	998	137
879	999	136
880	1000	135
881	1000	133
882	1001	132
883	1002	131
884	1003	130
885	1004	129
886	1005	128
887	1006	126
888	1007	125
889	1008	124
890	1009	123
891	1009	122
892	1010	121
893	1011	119
894	1012	118
895	1012	117
896	1013	116
897	1014	115
898	1014	114
899	1015	112
900	1016	111
901	1017	110
902	1017	109
903	1018	108
904	1019	106
905	1020	105
906	1021	104
907	1022	103
908	1022	102
909	1023	101
910	1024	100
911	1025	98
912	1026	97
913	1027	96
914	1027	95
915	1028	94
916	1029	93
917	1029	92
918	1030	90
919	1031	89
920	1032	88
921	1032	87
922	1033	86
923	1034	85
924	1035	83
925	1036	82
926	1036	81
927	1037	80
928	1038	79
929	1039	78
930	1039	77
931	1040	75
932	1041	74
933	1041	73
934	1042	72
935	1043	71
936	1043	70
937	1044	69
938	1045	67
939	1046	66
940	1046	65
941	1047	64
942	1048	63
943	1048	62
944	1049	61
945	1050	59
946	1051	58
947	1052	57
948	1053	56
949	1054	55
950	1054	54
951	1055	53
952	1056	52
953	1056	50
954	1057	49
955	1058	48
956	1059	47
957	1059	46
958	1060	45
959	1061	44
960	1061	43
961	1062	41
962	1063	40
963	1064	39
964	1065	38
965	1066	37
966	1067	36
967	1067	35
968	1068	34
969	1069	33
970	1069	31
971	1070	30
972	1071	29
973	1071	28
974	1072	27
975	1073	26
976	1074	25
977	1074	24
978	1075	23
979	1076	21
980	1077	20
981	1077	19
982	1078	18
983	1079	17
984	1080	16
985	1081	15
986	1081	14
987	1082	13
988	1083	12
989	1084	10
990	1084	9
991	1085	8
992	1086	7
993	1086	6
994	1087	5
995	1088	4
996	1088	3
997	1089	2
998	1090	1
999	1090	0
